iter	Passed	Remaining
409	5444	2523
410	5457	2509
411	5469	2495
412	5479	2480
413	5491	2467
414	5504	2453
415	5517	2440
416	5528	2426
417	5541	2412
418	5554	2399
419	5564	2384
420	5576	2371
421	5591	2358
422	5610	2347
423	5656	2348
424	5769	2375
425	5809	2373
426	5913	2395
427	6027	2422
428	6107	2434
429	6163	2436
430	6260	2454
431	6333	2462
432	6403	2469
433	6462	2471
434	6527	2476
435	6574	2473
436	6613	2466
437	6659	2463
438	6691	2454
439	6733	2448
440	6797	2450
441	6857	2451
442	6900	2445
443	6939	2438
444	6977	2430
445	7019	2423
446	7058	2415
447	7129	2418
448	7214	2426
449	7328	2442
450	7382	2439
451	7443	2437
452	7489	2430
453	7515	2416
454	7544	2404
455	7580	2393
456	7610	2381
457	7645	2370
458	7673	2357
459	7692	2341
460	7709	2324
461	7756	2316
462	7787	2304
463	7813	2290
464	7837	2275
465	7881	2266
466	7908	2252
467	7926	2235
468	7943	2218
469	7959	2201
470	7972	2183
471	7986	2165
472	7995	2146
473	8007	2128
474	8019	2110
475	8028	2091
476	8040	2073
477	8052	2055
478	8063	2036
479	8075	2018
480	8086	2000
481	8096	1982
482	8109	1964
483	8122	1946
484	8134	1928
485	8143	1910
486	8155	1892
487	8164	1873
488	8177	1856
489	8189	1838
490	8203	1821
491	8222	1804
492	8244	1789
493	8258	1771
494	8270	1754
495	8279	1736
496	8291	1718
497	8302	1700
498	8312	1682
499	8322	1664
500	8334	1647
501	8344	1628
502	8355	1611
503	8367	1593
504	8378	1576
505	8390	1558
506	8402	1541
507	8411	1523
508	8423	1505
509	8434	1488
510	8443	1470
511	8456	1453
512	8469	1436
513	8481	1419
514	8493	1401
515	8505	1384
516	8518	1367
517	8527	1349
518	8537	1332
519	8549	1315
520	8561	1298
521	8571	1280
522	8584	1263
523	8595	1246
524	8605	1229
525	8617	1212
526	8629	1195
527	8640	1178
528	8653	1161
529	8666	1144
530	8678	1127
531	8686	1110
532	8699	1093
533	8710	1076
534	8719	1059
535	8731	1042
536	8742	1025
537	8752	1008
538	8765	991
539	8777	975
540	8786	958
541	8798	941
542	8809	924
543	8819	907
544	8832	891
545	8843	874
546	8852	857
547	8866	841
548	8879	824
549	8888	808
550	8900	791
551	8915	775
552	8928	758
553	8937	742
554	8949	725
555	8963	709
556	8975	692
557	8985	676
558	9000	660
559	9011	643
