iter	RMSE
209	0.342740177
210	0.342652034
211	0.3425321452
212	0.3424409324
213	0.3423019918
214	0.3421700629
215	0.3420064906
216	0.3418187562
217	0.3417158494
218	0.3415621188
219	0.3414477345
220	0.3413850417
221	0.3412559363
222	0.3411535732
223	0.3410754618
224	0.3409392808
225	0.3408028641
226	0.3406470997
227	0.3405590619
228	0.3404563705
229	0.3403012665
230	0.3401633355
231	0.3401177777
232	0.339959003
233	0.339820248
234	0.339703711
235	0.3396213575
236	0.3395024243
237	0.3394441828
238	0.3393641235
239	0.3392482675
240	0.3391522768
241	0.3391231324
242	0.338929775
243	0.3388530982
244	0.3387836841
245	0.3387363549
246	0.3386792398
247	0.3386203728
248	0.3385592627
249	0.338491279
250	0.3383991456
251	0.3383433622
252	0.3382656866
253	0.3381408461
254	0.337993063
255	0.3378779622
256	0.3377904408
257	0.3376638183
258	0.3376410135
259	0.337490214
260	0.3373356684
261	0.3372073211
262	0.3370685883
263	0.3369706422
264	0.3369079322
265	0.3368106611
266	0.3367466916
267	0.3366831104
268	0.336543504
269	0.3364473249
270	0.3363682826
271	0.3363093663
272	0.336212899
273	0.3361390912
274	0.336049266
275	0.3359294635
276	0.3358248152
277	0.3357242025
278	0.3356462617
279	0.3355664992
280	0.3354819201
281	0.3353894477
282	0.3353190306
283	0.3351897302
284	0.3351136003
285	0.334988994
286	0.3349437862
287	0.3348049642
288	0.3347528374
289	0.3346627959
290	0.334602701
291	0.3344665754
292	0.3343951591
293	0.3343070479
294	0.3342646465
295	0.3342058269
296	0.3341557354
297	0.3341017271
298	0.3340393615
299	0.3338824249
300	0.3337654214
301	0.3337066727
302	0.3336670951
303	0.3335953977
304	0.3335212086
305	0.3334069906
306	0.3333045439
307	0.3332151332
308	0.3331313771
309	0.3329860572
310	0.3328780525
311	0.3328237
312	0.3327479836
313	0.3326721842
314	0.3325914136
315	0.3324924473
316	0.3324107623
317	0.3322067463
318	0.3320818806
319	0.331989063
320	0.3318837241
321	0.3318037904
322	0.3316879002
323	0.3316324942
324	0.3315477336
325	0.3315052533
326	0.3313334239
327	0.3312401715
328	0.3311744058
329	0.3310607073
330	0.3310129668
331	0.3309789866
332	0.3309033789
333	0.330768185
334	0.3307040722
335	0.3306465494
336	0.3305617156
337	0.3304731997
338	0.3303453367
339	0.3302817028
340	0.3302233427
341	0.3301293723
342	0.3300100096
343	0.3298976749
344	0.3298468126
345	0.3296914671
346	0.3295508143
347	0.3294743954
348	0.3293354644
349	0.3292478837
350	0.3292049604
351	0.3290773271
352	0.3289804018
353	0.3289019055
354	0.3288005076
355	0.3287363039
356	0.3286859196
357	0.3285859463
358	0.3285247397
359	0.3284717488
360	0.3284026796
361	0.3283241024
362	0.3282466876
363	0.3281307701
364	0.3280969272
365	0.3279911694
366	0.3278943944
367	0.3278141833
368	0.3277309002
369	0.3276706725
370	0.3276097369
371	0.3275826377
372	0.3275347958
373	0.327452893
374	0.327386154
375	0.3273245865
376	0.3272592687
377	0.3272199075
378	0.3271472842
379	0.3270805803
380	0.3270492153
381	0.3269855713
382	0.3268645226
383	0.326730205
384	0.3266151682
385	0.3265800429
386	0.3265314402
387	0.3264448408
388	0.3263576395
389	0.326325777
390	0.3261813252
391	0.3260960191
392	0.3260282928
393	0.3259863679
394	0.3259303089
395	0.3258534008
396	0.3257267808
397	0.3256932095
398	0.3255964216
399	0.3255150564
400	0.3253432504
401	0.3252790264
402	0.3251953536
403	0.3251445202
404	0.3251008397
405	0.3249920484
406	0.3248831353
407	0.3247939352
408	0.3247188799
409	0.3246595003
410	0.3246140917
411	0.3245544217
412	0.3244739297
413	0.3243945812
414	0.3243418516
415	0.3242328693
416	0.324163215
417	0.3240942419
418	0.324077345
419	0.3240361478
420	0.3239995452
421	0.3239207611
422	0.3238510628
423	0.3237524342
424	0.3236082735
425	0.3235863447
426	0.3235548089
427	0.3234738304
428	0.3233867927
429	0.3233024618
430	0.3232391644
431	0.3231925391
432	0.3231430904
433	0.3230672793
434	0.322984344
435	0.3228511126
436	0.3227715472
437	0.3226655403
438	0.3225907793
439	0.3225217332
440	0.3224707645
441	0.3223910003
442	0.3223320464
443	0.32225464
444	0.3221828351
445	0.3221607735
446	0.3221221131
447	0.3220632303
448	0.3219813598
449	0.321901545
450	0.321872474
451	0.3218006192
452	0.3217071054
453	0.3215688308
454	0.3215135495
455	0.321402716
456	0.3213561807
457	0.3213156793
458	0.3211985474
459	0.3211441944
460	0.3210975839
461	0.3210349397
462	0.3209416202
463	0.3209010662
464	0.3208051449
465	0.3207481939
466	0.3207116213
467	0.3206080713
468	0.3204994594
469	0.3204557134
470	0.3203918461
471	0.3203451969
472	0.3202435374
473	0.3201558995
474	0.3200932181
475	0.3200546664
476	0.3200184881
477	0.3199876338
478	0.3199397626
479	0.3198212328
480	0.3197712124
481	0.319666764
482	0.3195996351
483	0.3195432824
484	0.319460331
485	0.3194056498
486	0.3193581574
487	0.3193005467
488	0.3192526012
489	0.3191735096
490	0.3190968334
491	0.319027573
492	0.3189768123
493	0.3189222378
494	0.3187917988
495	0.3187156439
496	0.3186791639
497	0.3185978239
498	0.3185443554
499	0.318537057
500	0.3184737605
501	0.3184324045
502	0.3183755624
503	0.3182944803
504	0.3182370695
505	0.3181918886
506	0.3181098615
507	0.3180571325
508	0.3179432915
509	0.3179129956
510	0.3178663026
511	0.3177809132
512	0.3177085815
513	0.3176498135
514	0.3175891096
515	0.3175201667
516	0.3174387738
517	0.3174143544
518	0.3173723649
519	0.3172654934
520	0.3171977224
521	0.3171578285
522	0.3170862523
523	0.3170356446
524	0.3169332992
525	0.3168638119
526	0.3167834256
527	0.3167326006
528	0.3166818004
529	0.3166328463
530	0.3165952313
531	0.3165776837
532	0.3164541641
533	0.3164355485
534	0.3163932255
535	0.3163396635
536	0.3163014497
537	0.3162620044
538	0.3161916728
539	0.3161480946
540	0.3161062001
541	0.3160480061
542	0.3159986588
543	0.3159174684
544	0.3158398728
545	0.3158155745
546	0.3157494436
547	0.31571435
548	0.3156379888
549	0.3155420702
550	0.3154704531
551	0.3154038874
552	0.3153394155
553	0.3152452946
554	0.3151785338
555	0.3151028161
556	0.3150707397
557	0.3150227019
558	0.3149651961
559	0.3149326114
560	0.3148521562
561	0.3147893667
562	0.3147290073
563	0.3146891706
564	0.314649316
565	0.3146193682
566	0.3145698723
567	0.3145334901
568	0.3144997463
569	0.3144434897
570	0.3143159915
571	0.3142721158
572	0.3142187511
573	0.3141647434
574	0.314051689
575	0.313957979
576	0.3138972547
577	0.3138596317
578	0.3137988211
579	0.3136908869
580	0.3136470736
581	0.313609217
582	0.3134851296
583	0.3134379792
584	0.3134100526
585	0.3133640076
586	0.3133049284
587	0.3132670428
588	0.3132260863
589	0.3131608992
590	0.3131367238
591	0.3130295702
592	0.3129970754
593	0.3129533371
594	0.3129024588
595	0.3128206306
596	0.312771421
597	0.3127163947
598	0.3126508911
599	0.3125751217
